param,value,lower,upper
log10Kmax,4.89757211382573,0.866141036985254,6.30708934448506
log10Ku,-2.12176553132496,-2.43521561549601,-1.73509402471693
n,0.5785,0.5005975,0.905415
log10halfmax,6.11260500153457,2.33507001227124,7.65039453160161
Vhalf,-10.16,-42.72275,-3.197
log10slope,-1.2150262900456,-1.83864698377437,-0.997780055442839
