param,value,lower,upper
log10Kmax,0.266466895440241,0.0538368313040826,3.31400163192503
log10Ku,-0.00392634551472468,-0.258264256745157,0
n,1.561,0.8591425,2
log10halfmax,7.19920647916166,5.18226351390577,8.9995220131289
Vhalf,-68.23,-155.0025,-1.002
log10slope,-6.93255715722362,-8.79970366492911,-4.08998962192545
