param,value,lower,upper
log10Kmax,0.0124153747624329,-0.161469076001414,4.41913344309226
log10Ku,-0.447940465812116,-0.368251925603431,0
n,0.9613,0.509095,1.788
log10halfmax,5.11461098423217,4.50581738488659,8.99995656838019
Vhalf,-23.05,-177.9025,-55.565
log10slope,-5.10220801806078,-9.15235807684685,-3.10174283291913
