param,value,lower,upper
log10Kmax,0.244524511570084,0.161307933688686,2.10550617594257
log10Ku,-1.43889861635094,-1.71582318462236,-0.279427279635739
n,1.999,0.5001,2
log10halfmax,6.19312459835446,2.31058124223897,6.33666482339098
Vhalf,-72.32,-87.85375,-16.2065
log10slope,-5.94846160948467,-6.05695708010885,-1.5448314608401
