param,value,lower,upper
log10Kmax,1.83664054157277,0.717493666018272,5.97118304085616
log10Ku,-1.81901441921327,-1.93741801577184,-1.72330847115496
n,0.7455,0.6354975,1.230025
log10halfmax,4.75495958772171,4.01464257781195,8.93351256693358
Vhalf,-161.7,-185.4,-78.96775
log10slope,-2.91829272990265,-4.68352713149846,-2.45727416398036
