param,value,lower,upper
log10Kmax,0.801472313521471,0.521902640854014,1.55365256559282
log10Ku,-1.59311932995088,-1.8156280775479,-0.747086482167022
n,1.314,0.9073,1.945125
log10halfmax,4.52840243795362,3.76462602564111,6.22922082617469
Vhalf,-8.325,-24.711,-2.774875
log10slope,-3.72699872793626,-5.49525736372831,-2.58902467762509
