Kmax,Ku,n,halfmax,Vhalf,slope
208900,0.1074,0.9512,876500000,-162.5,0.0002383
303300,0.163,0.9258,944600000,-180.7,0.0003211
209900,0.149,0.8996,496400000,-177.7,0.0004228
272500,0.5331,0.8619,4.66e+08,-87.72,0.0005848
243900,0.2218,0.8455,338900000,-90.26,0.0007197
226500,0.1925,0.8977,554100000,-100.2,0.0004088
78.8,0.1522,1.029,659700,-156.8,0.0001194
109100,0.1513,0.9769,617800000,-143.3,0.0001766
39.01,0.9821,1.123,793700,-82.3,4.915e-05
20080,0.1546,0.9632,97810000,-184.5,0.0002053
73280,0.8282,1.003,528600000,-84.02,0.0001386
33080,0.155,0.9562,142200000,-153.1,0.0002326
182300,0.3563,0.9513,790500000,-81.63,0.0002306
132,0.2167,1.026,1094000,-92.37,0.0001207
59960,0.1401,1.005,4.44e+08,-149.7,0.000135
192100,0.1044,0.8861,432300000,-157.3,0.0004444
98760,0.2344,0.9423,379600000,-92.26,0.0002602
32170,0.9871,0.9477,132300000,-83.17,0.0002432
334600,0.1731,0.9065,924300000,-196.8,0.000362
332700,0.1529,0.9105,895800000,-106,0.0003714
181100,0.2126,0.9229,554900000,-93.63,0.0003264
389600,0.1505,0.8833,826200000,-183.8,0.0004716
101800,0.1351,0.9108,271400000,-160.3,0.0003751
56.66,0.998,1.03,474600,-83.93,0.0001194
380500,0.1707,0.9019,983900000,-179.9,0.0003867
135700,0.9753,0.9055,3.61e+08,-82.46,0.0003759
156100,0.4287,0.9681,786900000,-86.41,0.0001984
102.3,0.1949,1.049,1105000,-91.56,9.258e-05
48630,0.1863,1.003,335500000,-93.77,0.0001449
61.93,0.9628,1.072,817000,-80.83,7.58e-05
58650,0.155,0.9325,197900000,-136.7,0.0002964
315700,0.1426,0.9173,948900000,-168.4,0.0003327
128900,0.9985,0.8886,290300000,-83.01,0.000444
73630,0.2022,1.019,603800000,-88,0.0001219
56.85,0.3071,1.043,560300,-90.54,0.0001015
201600,0.2315,0.9511,828100000,-92.23,0.0002434
157000,0.2299,0.9417,609300000,-90.48,0.0002577
47910,0.2673,0.9934,308500000,-89.99,0.0001553
346200,0.169,0.8617,587200000,-155.7,0.0005896
203400,0.2541,0.8859,434400000,-90.21,0.0004682
67.65,0.9798,1.029,567700,-82.88,0.0001192
36110,0.263,0.8987,87720000,-91.56,0.0004117
105600,0.1515,0.9266,337200000,-149.3,0.0003132
51790,1,0.992,320900000,-81.55,0.0001614
36950,0.1411,1.026,3.37e+08,-159.1,0.0001096
115200,0.1659,0.9403,455800000,-155.3,0.0002527
124600,0.1725,0.9599,589900000,-94.1,0.0002112
91540,0.3556,1.012,709500000,-81.28,0.000129
143900,0.6844,0.936,540800000,-85.6,0.0002661
67200,0.2364,0.9492,278400000,-92.1,0.0002414
219200,0.06655,0.9177,662700000,-171.6,0.0003308
72050,0.1124,0.9206,214500000,-126.6,0.0003359
249900,0.2332,0.934,921800000,-95.01,0.0002711
339200,0.1701,0.8932,801500000,-197.7,0.0004232
251100,0.1431,0.9447,966400000,-159.8,0.0002598
337400,0.1469,0.908,886800000,-99.45,0.0003805
51020,0.7406,0.9743,267100000,-84.49,0.000191
51680,0.2349,0.9447,200700000,-91.5,0.0002575
99730,0.975,0.8702,176900000,-82.61,0.0005638
90410,0.182,0.9483,380100000,-98.91,0.0002379
60.79,0.1502,1.048,588500,-156.5,0.0001033
211400,1,0.9086,570800000,-83.99,0.0003704
188600,0.1537,0.9006,467800000,-154.9,0.0004032
235200,0.1259,0.936,844700000,-190.6,0.0002784
124000,0.1559,0.9199,370300000,-150.4,0.0003349
306100,0.1112,0.9118,842700000,-177.1,0.0003632
114500,0.1543,0.926,370800000,-161.1,0.0003088
130100,0.2371,0.9559,588700000,-92.11,0.000221
382600,0.9987,0.8739,7.3e+08,-83.54,0.0005241
153.1,0.9999,0.9648,723500,-83.36,0.0002116
311100,0.2802,0.9011,777400000,-91.29,0.0004002
3e+05,0.1904,0.8736,558400000,-145.1,0.0005372
180100,0.1627,0.8969,425500000,-112.7,0.0004233
183600,0.9985,0.9066,509500000,-83.95,0.0003604
115.5,0.1422,1.013,828200,-174.6,0.0001395
323300,0.1412,0.9053,771600000,-160.2,0.000419
92920,0.1583,0.924,291600000,-156.2,0.0003187
72.3,0.9999,1.03,596200,-82.33,0.0001213
68060,0.7495,0.9582,318700000,-84.51,0.0002136
