Kmax,Ku,n,halfmax,Vhalf,slope
105.3,0.00787,0.9035,27040,-66.69,0.003894
446000,0.01879,0.7969,82130000,-3.494,0.00543
67.49,0.01,0.8867,14410,-70.23,0.004684
3414,0.005107,0.8886,798500,-67.61,0.004276
35.36,0.01009,0.8506,5952,-71.26,0.005941
54.55,0.008641,0.8411,10350,-62.49,0.005271
100.2,0.005404,0.9891,44300,-67.51,0.002262
84.76,0.007612,0.9354,26590,-67.08,0.003188
49.34,0.007696,0.8876,10990,-68.42,0.00449
72260,0.009145,0.7884,9754000,-65.42,0.007408
28580,0.01313,0.829,5348000,-10.62,0.005344
204600,0.008214,0.8952,51190000,-72.28,0.003997
52.25,0.008914,0.8532,10730,-60.32,0.00487
1646000,0.005785,0.8616,334900000,-67.34,0.004915
4020,0.0149,0.8043,665000,-5.33,0.006045
20.82,0.01564,0.9449,7510,-9.621,0.002772
48.77,0.006056,0.9234,15440,-62.48,0.003159
13.89,0.01766,0.9986,7051,-8.822,0.00197
791000,0.005927,0.8706,176700000,-67.06,0.004477
47760,0.007157,0.8647,9664000,-69.07,0.004942
28.72,0.01099,0.9808,12390,-66.8,0.002318
18150,0.008798,0.808,2764000,-67.13,0.006567
30.75,0.006075,1.036,18430,-66.95,0.001668
21.59,0.005088,1.012,9688,-61.41,0.002229
561100,0.006599,0.8742,129300000,-59.85,0.00434
31.97,0.01456,0.9207,10170,-6.964,0.003144
75.73,0.004505,1.038,46970,-59.88,0.001612
114700,0.008497,0.88,28410000,-67.18,0.004037
217.7,0.006525,0.8985,62380,-57.47,0.00349
631.5,0.007193,0.8466,119100,-66.58,0.005302
1399,0.01744,0.7602,191700,-5.7,0.007298
31.57,0.007702,0.9544,11170,-67.45,0.002826
2016000,0.005127,0.8162,329600000,-58.5,0.006117
20680,0.004872,0.8588,4491000,-53.79,0.004605
32.35,0.006932,0.8792,6807,-60.53,0.004752
50.28,0.008618,0.8299,8429,-62.48,0.005965
77730,0.006224,0.8262,12400000,-59.82,0.006269
72.24,0.004179,0.8845,16880,-60.46,0.00428
213400,0.005457,0.8896,50700000,-68.5,0.004209
208300,0.008517,0.8683,45830000,-66.62,0.004545
1285000,0.00724,0.8585,262500000,-67.73,0.004895
696900,0.005075,0.8803,143700000,-69.07,0.00485
85410,0.005271,0.8851,22020000,-63.11,0.003879
597,0.004748,0.8609,126400,-58.62,0.004723
50.4,0.005717,0.9736,21320,-67.56,0.002364
18.82,0.00883,0.9522,6221,-62,0.003025
405100,0.004712,0.8501,78410000,-58.67,0.005166
75.04,0.008671,0.8152,12220,-52.26,0.006141
539900,0.007156,0.8379,96650000,-66.93,0.005586
133.8,0.006761,0.8771,30530,-63.51,0.004383
88.65,0.005758,0.9014,23800,-56.06,0.003725
38.73,0.01002,0.9727,15000,-69.83,0.002582
1979000,0.008799,0.8101,305200000,-59.54,0.006484
1561000,0.00848,0.8938,3.82e+08,-71.19,0.004086
13.61,0.01372,0.9228,3796,-13,0.003585
16.65,0.01089,1.007,7882,-70.15,0.002112
16.36,0.00933,1.074,12960,-11.37,0.001262
35.51,0.00957,0.8106,5025,-53.99,0.007067
24500,0.01098,0.8091,3643000,-66.73,0.006725
36.33,0.01343,0.9696,17150,-7.894,0.002118
4175000,0.008379,0.8632,787700000,-71.78,0.0053
26.71,0.00538,0.9008,6678,-55.77,0.004
37.01,0.009918,0.8933,9720,-66.31,0.003808
207.9,0.004407,0.8821,49820,-56.76,0.004173
1189000,0.01641,0.7814,177900000,-15.53,0.006684
420200,0.008566,0.8441,75670000,-66.43,0.005553
37.16,0.01694,0.8235,7207,-4.856,0.005156
308600,0.008013,0.8478,60320000,-65.23,0.005116
42.1,0.007455,0.8583,8342,-67.32,0.005047
2340000,0.008587,0.886,573700000,-60.43,0.004079
1655000,0.009841,0.847,303700000,-69.27,0.005449
1834000,0.008398,0.7936,2.6e+08,-64.04,0.007054
28.01,0.01824,0.8825,7471,-8.562,0.003749
29.68,0.008471,0.9087,8439,-62.62,0.003517
1464000,0.007466,0.7861,172100000,-65.69,0.008507
21.52,0.005795,1.104,19180,-63.78,0.001122
3275000,0.00826,0.881,708100000,-72.2,0.004625
55.22,0.01346,0.8929,15170,-56.85,0.00364
31.22,0.00762,0.9153,9103,-56.78,0.00343
372400,0.008187,0.9856,174900000,-72.1,0.002129
89.1,0.009064,0.8146,15130,-62.23,0.005889
577.7,0.00584,0.8447,109700,-63.09,0.005266
339100,0.00609,0.8555,72520000,-63.56,0.004676
37340,0.008574,0.8125,5740000,-67.09,0.006505
14.2,0.01714,0.8817,2771,-79.24,0.005125
23.22,0.01631,0.9563,9694,-11.82,0.002395
100.8,0.01406,0.8327,18340,-6.676,0.005496
146800,0.006279,0.867,30010000,-59.43,0.004892
98.3,0.008866,0.8578,22150,-59.65,0.004438
538500,0.0106,0.8458,103400000,-70.18,0.005208
36.14,0.007745,1.032,20430,-58.89,0.001769
27.96,0.008653,0.9969,12450,-67.34,0.002246
1904000,0.008254,0.921,570500000,-72.3,0.003337
44230,0.004663,0.8474,8361000,-57.57,0.00529
9.942,0.02224,0.9859,4467,-8.455,0.002226
62520,0.01015,0.9016,18870000,-64.25,0.003313
81.39,0.007922,0.8158,11570,-66.61,0.007035
4410,0.01244,0.8439,891200,-10.94,0.004948
25.88,0.01138,0.8394,4537,-66.55,0.005704
18,0.01171,0.9451,5589,-69.25,0.003221
78.08,0.01612,0.7867,12650,-6.07,0.006172
26.23,0.011,0.9805,10570,-67.14,0.002482
88.15,0.007655,0.8536,16340,-68.21,0.005395
101.3,0.005933,0.9647,40540,-69.45,0.002499
9148,0.01273,0.8521,1988000,-7.831,0.004602
