Kmax,Ku,n,halfmax,Vhalf,slope
24.68,0.06691,1.041,141900,-89.34,0.0001739
38.64,0.01688,0.9622,115900,-101.6,0.0003334
44.62,0.01455,1.02,222000,-89.6,0.000201
34.81,0.06633,1.126,438200,-166.8,7.944e-05
59.99,0.06287,0.9407,143400,-166.9,0.0004183
565100,0.02323,0.8826,835600000,-96.56,0.0006763
23.64,0.9683,1.03,116900,-157.3,0.0002022
226.6,0.01554,0.8307,193400,-89.18,0.001172
27.02,0.01674,1.074,221000,-84.78,0.0001223
82.91,0.9862,0.8932,127500,-89.82,0.0006503
54.38,0.02005,0.9642,156700,-149.6,0.000347
28.59,0.0212,1.043,170100,-90.63,0.0001681
875100,0.01822,0.8231,756800000,-84.93,0.001156
44.18,0.02469,0.9958,183900,-96.53,0.0002402
34.2,0.01949,1.075,279800,-84.99,0.0001222
59.1,1,0.8988,98400,-161,0.0006006
42.62,0.01796,0.9275,95710,-80.33,0.0004453
31.74,0.02763,0.9381,66990,-147.1,0.0004738
266400,0.9663,0.8231,2.15e+08,-91.23,0.001239
26.01,0.02089,1.117,285100,-88.59,9.123e-05
148.2,0.01738,0.8915,231800,-161.4,0.0006393
44.31,0.08225,1.03,240700,-174.7,0.0001841
435.7,0.02199,0.8489,479500,-90.11,0.0009087
403.3,0.01536,0.85,478900,-86.3,0.0008421
79.8,0.0164,1.038,493200,-92.67,0.0001618
44.17,0.02323,0.9255,90540,-91.27,0.0004879
32.1,0.9993,1.042,203400,-172,0.0001578
89.88,0.02004,0.944,226600,-91.7,0.0003966
52.71,0.9957,0.9192,112700,-82.01,0.0004677
27.99,0.0332,1.091,247500,-177.7,0.0001131
25.37,0.05294,1.046,148000,-160.9,0.0001714
36.13,0.9849,1.004,152300,-168.7,0.0002372
52.82,0.0259,0.9785,174300,-158.1,0.000303
8039,0.7896,0.8263,7379000,-84.47,0.001089
97.79,0.01555,1.019,506800,-93.27,0.000193
108,0.02077,0.8908,176300,-91.99,0.0006126
58.79,0.9722,0.9324,147300,-84.34,0.0003991
35.28,0.9627,0.9964,162700,-83.63,0.0002168
59.26,0.02026,0.9861,221600,-148.1,0.0002674
46.2,0.4666,0.9799,149800,-143.2,0.0003084
38.22,0.02248,0.9445,98470,-87.91,0.0003881
36.84,0.01662,1.031,198800,-86.8,0.0001853
48.25,1,0.9057,82340,-88.73,0.000586
41.53,0.01639,0.9387,95630,-81.58,0.0004343
539.2,0.02637,0.874,729600,-95.41,0.000739
54.59,0.02415,0.9332,109200,-175.4,0.0004999
67.99,0.01748,0.9232,155300,-90.51,0.0004378
325000,0.01827,0.8555,3.65e+08,-97.02,0.0008904
103.3,0.02249,0.9003,168900,-170.6,0.0006116
49.16,0.9879,0.9103,90130,-97.87,0.0005454
18.49,0.01829,1.141,250100,-89.85,7.393e-05
44.61,0.01528,0.9785,146100,-85.88,0.0003053
1063000,0.01563,0.8137,778900000,-167.6,0.001365
26.14,0.02579,1.088,237100,-83.73,0.0001102
81.56,0.04853,0.9243,164800,-91.45,0.0004949
29.08,0.02002,1.102,275100,-151.9,0.0001057
30.02,0.01394,0.9657,90130,-88.31,0.0003331
13990,0.01229,0.8886,22270000,-84.9,0.0006282
480600,0.6923,0.8829,773100000,-81.77,0.0006217
30.33,0.0216,1.01,129500,-146.3,0.0002342
49.28,0.02203,0.9451,112800,-89.12,0.0004369
38.15,0.0272,0.9767,121500,-170.6,0.000314
128700,0.01378,0.8452,142800000,-81.78,0.0009013
34.92,0.02252,0.9904,132100,-89.39,0.0002643
56.24,0.02124,0.9897,212400,-83.73,0.0002648
63.84,0.01556,0.8849,92970,-84.87,0.0006867
266500,0.0153,0.8733,365400000,-89.29,0.0007293
93.58,0.01474,0.9642,309000,-80.54,0.0003028
44.25,0.9651,0.9592,122800,-159.2,0.0003603
44.85,0.2616,0.9437,102100,-173.9,0.0004393
60.56,0.02097,0.9,96040,-123.8,0.0006306
37.23,0.02098,1.025,198100,-166.9,0.0001879
185.8,0.01255,0.9435,524500,-81.47,0.0003542
42.6,0.01504,0.9725,128700,-87,0.000331
53.79,0.01727,0.9621,154500,-174.1,0.0003482
112.8,0.01753,0.939,270500,-93.95,0.000417
39860,0.0479,0.836,39090000,-162.9,0.00102
66.79,0.01743,0.9035,117100,-82.8,0.0005704
177.8,0.01976,0.8368,175800,-89.23,0.001011
136.5,0.01545,0.9414,366900,-89.31,0.000372
38.17,1,0.979,120700,-155.3,0.0003162
94.92,0.03285,0.9023,159500,-103.7,0.0005951
147400,0.01467,0.8454,144600000,-112.4,0.001019
47.88,0.0158,0.9571,151000,-77.52,0.0003171
56.35,0.9999,0.9496,150700,-98.38,0.0003739
48.5,0.8631,1.044,322000,-81.85,0.0001506
81.09,0.08821,0.8882,118000,-172,0.0006872
30.8,1,0.9644,86170,-88.91,0.0003574
66.31,0.01278,0.9937,272300,-83.45,0.0002435
67.69,0.01654,0.9148,143300,-85.73,0.0004724
21.36,0.9998,1.027,110900,-89.48,0.0001926
51.58,0.02071,0.98,194900,-96.46,0.0002646
40.12,0.01603,0.969,124900,-96.33,0.0003212
53.94,0.03158,0.992,204300,-167.6,0.000264
60.2,0.9718,0.951,172200,-86.2,0.0003496
200,0.01331,0.9473,516800,-89.78,0.000387
37.09,0.02349,0.9735,118700,-155.2,0.0003125
