Kmax,Ku,n,halfmax,Vhalf,slope
42840,2.011e-05,1.027,271700,-1.003,0.1577
32.83,1.853e-05,1.016,156.8,-1.197,0.2094
12.64,1.834e-05,1.206,81.55,-1.009,0.155
181600,1.746e-05,0.9764,927400,-1.002,0.1958
3230000,2.036e-05,1.028,22570000,-1.011,0.1431
24.74,1.609e-05,1.184,174.9,-3.346,0.1415
61.26,1.659e-05,0.9475,255.5,-1,0.2398
9.887,1.924e-05,1.349,78.31,-1,0.1263
4388000,1.272e-05,1.071,23070000,-9.617,0.1902
22.38,1.906e-05,1.116,140.5,-1.064,0.1593
4498000,1.893e-05,1.006,24670000,-4.775,0.1823
369500,1.331e-05,1.103,2043000,-15.92,0.1809
2275000,1.452e-05,1.073,12230000,-11.24,0.186
8.261,1.907e-05,1.275,57.3,-1,0.1442
3108000,1.329e-05,1.02,15700000,-7.291,0.198
14.76,1.766e-05,1.208,97.01,-1.109,0.1521
8.378,1.947e-05,1.477,87.34,-1.001,0.09592
2953000,2.269e-05,1.066,21280000,-1.001,0.1388
9.389,1.751e-05,1.423,71.22,-1,0.1318
9889000,1.937e-05,0.9977,58990000,-1.048,0.1676
6181000,1.361e-05,1.101,36250000,-10.46,0.1705
18.57,1.3e-05,1.132,83.36,-7.856,0.2228
7871000,1.435e-05,1.017,38450000,-6.913,0.2047
2859000,1.357e-05,1.112,18030000,-7.545,0.1586
9.777,2.001e-05,1.455,116.3,-1,0.08407
9.42,1.811e-05,1.355,75.01,-1,0.1256
33.42,1.72e-05,1.137,216.8,-1.07,0.1542
251700,1.834e-05,0.9793,1414000,-1.004,0.178
343800,2.137e-05,1.038,2170000,-1.572,0.1584
4934,1.831e-05,0.9491,24220,-1.001,0.2037
550800,1.624e-05,1.171,4723000,-3.552,0.1166
15.63,1.401e-05,1.274,107.5,-6.861,0.1454
9.655,1.872e-05,1.305,72.49,-1.015,0.1332
7.713,1.848e-05,1.441,68.59,-1,0.1125
309500,1.806e-05,1.004,1683000,-1.009,0.1839
16.87,1.933e-05,1.253,126.5,-1,0.1334
15.32,1.954e-05,1.169,112.9,-1.001,0.1357
141900,1.767e-05,1.057,933200,-1.004,0.1521
15.29,1.812e-05,1.307,134.5,-1.142,0.1137
301500,2.142e-05,0.986,1719000,-1,0.1754
12.64,9.578e-06,1.345,71.05,-17.27,0.1779
331800,1.862e-05,0.9499,1822000,-1.003,0.1821
37.26,1.15e-05,1.135,172.5,-21.52,0.216
409200,2.221e-05,1.103,3124000,-1.076,0.131
16.83,1.755e-05,1.134,105.4,-1,0.1597
26.29,1.678e-05,1.063,137.2,-1.208,0.1916
382700,1.506e-05,1.029,2314000,-1.675,0.1654
9.445,2.458e-05,1.311,82.23,-1,0.1149
