Kmax,Ku,n,halfmax,Vhalf,slope
84240,0.02381,0.7033,169100000,-71.56,0.0004982
73130,0.03454,0.7758,384900000,-56.48,0.00019
42870,0.04911,0.7887,2.64e+08,-18.24,0.0001624
138000,0.04737,0.7945,958700000,-9.301,0.0001439
103800,0.02587,0.8193,912800000,-17.47,0.0001137
79710,0.03184,0.7404,256300000,-66.25,0.000311
101600,0.02105,0.819,954400000,-62.68,0.0001065
86460,0.01236,0.7293,297300000,-17.14,0.0002908
30170,0.04903,0.8079,222800000,-75.72,0.0001354
64790,0.1172,0.6704,109200000,-59.38,0.0005933
74280,0.01972,0.7978,521800000,-64.5,0.0001424
261200,0.01536,0.74,945900000,-55.46,0.0002761
39800,0.01062,0.6859,80420000,-12.39,0.0004949
148700,0.02007,0.7404,5.53e+08,-8.123,0.0002689
92200,0.01165,0.7061,251300000,-9.447,0.0003669
57250,0.01289,0.6945,125300000,-14.57,0.0004569
21520,0.02848,0.7359,64480000,-71.29,0.0003337
121200,0.0151,0.7126,292600000,-61.53,0.0004142
84600,0.01903,0.843,845100000,-73.4,0.0001001
58360,0.02163,0.7683,259700000,-65.35,0.0002247
57360,0.01514,0.8156,391500000,-58.02,0.0001465
95830,0.0113,0.6914,218400000,-11.17,0.0004388
93080,0.05289,0.7674,389800000,-74.02,0.0002388
57350,0.02782,0.7731,301200000,-16.86,0.0001904
101100,0.0476,0.7624,425400000,-76.9,0.0002377
142100,0.05263,0.728,409700000,-65.34,0.0003468
53010,0.02347,0.7683,242800000,-55.59,0.0002183
6.77,0.01034,0.7518,22560,-17.93,0.0003001
35150,0.03458,0.8309,371400000,-57.36,9.464e-05
68030,0.03707,0.7304,193800000,-77.53,0.000351
5.499,0.08284,0.9347,123100,-59.04,4.467e-05
208600,0.02852,0.7524,728300000,-69.94,0.0002864
102900,0.03443,0.8087,718900000,-61.75,0.0001431
98250,0.02496,0.7583,391100000,-57.4,0.0002512
46520,0.01161,0.7019,120300000,-7.926,0.0003867
65760,0.04707,0.6874,127100000,-75.83,0.0005174
79620,0.02695,0.765,401100000,-14.81,0.0001985
835900,0.01279,0.6198,7.68e+08,-53.82,0.001088
68190,0.02628,0.8048,515100000,-13.07,0.0001324
115700,0.03244,0.763,474500000,-60.21,0.0002438
34320,0.01529,0.6737,58010000,-8.528,0.0005916
64650,0.03436,0.7793,349100000,-20.4,0.0001852
99340,0.04412,0.7572,409600000,-60.49,0.0002425
142100,0.01342,0.7136,3.49e+08,-62.92,0.0004072
78680,0.01537,0.7828,447800000,-60.68,0.0001757
55320,0.02085,0.7155,132400000,-70.13,0.0004178
63410,0.02337,0.8093,492100000,-68.04,0.0001289
