Kmax,Ku,n,halfmax,Vhalf,slope
84.24,0.02739,0.9318,31850,-84.6,0.002645
2525000,0.03066,0.8592,613800000,-83.41,0.004114
89980,0.02111,0.8548,20380000,-80.52,0.004415
100.2,0.021,0.9239,37750,-82.83,0.002654
48270,0.021,0.8595,11210000,-81.7,0.004306
56740,0.01802,0.9263,22610000,-84.46,0.00251
44.82,0.02062,1.06,45660,-79.12,0.0009816
30250,0.02173,0.8804,8288000,-78.94,0.00365
92810,0.02175,0.9065,33760000,-76.39,0.002749
50540,0.02509,0.8926,15320000,-81.62,0.003299
61.51,0.03085,0.9464,26800,-83.45,0.002295
54.48,0.02144,0.9724,27500,-83.86,0.001981
602100,0.02909,0.8854,1.73e+08,-83.96,0.00348
25040,0.02844,0.8607,6101000,-81.87,0.004104
18180,0.02072,0.8661,4409000,-83.29,0.004123
85.84,0.02085,0.9539,39090,-86.66,0.002196
76040,0.01978,0.8548,17440000,-82.19,0.00436
35810,0.02119,0.9409,16260000,-78.82,0.002202
23550,0.02421,0.867,5860000,-80.37,0.004019
34120,0.01962,0.9361,14410000,-79.77,0.002368
1609000,0.02322,0.9416,7.6e+08,-80.91,0.002117
115700,0.02631,0.909,40530000,-81.62,0.002855
1083000,0.02211,0.9092,391600000,-83.12,0.002766
33840,0.02218,0.9549,17880000,-79.61,0.001893
46900,0.02112,0.9404,21690000,-80.86,0.002162
16820,0.02058,0.9292,6639000,-81.47,0.002534
266800,0.0194,0.8508,57740000,-81.53,0.004621
245300,0.02263,0.8606,59690000,-83.16,0.00411
85600,0.02442,0.8952,28620000,-78.38,0.002991
8762,0.02111,0.8829,2518000,-76.88,0.00348
75490,0.0222,0.883,22300000,-81.53,0.003385
630.9,0.02905,0.8854,180100,-86.61,0.003503
22.16,0.02232,0.9807,10330,-84.74,0.002145
10300,0.02636,0.9132,3676000,-84.6,0.002802
287600,0.0285,0.9134,102500000,-84.06,0.002806
23930,0.02599,0.835,4806000,-79.95,0.004979
65870,0.01892,0.8992,21850000,-80.74,0.003015
87.41,0.02176,0.9905,53860,-81.7,0.001623
54220,0.03686,0.8548,12010000,-83.25,0.004515
494500,0.02834,0.934,212700000,-88.34,0.002325
59.43,0.02366,0.9724,31370,-80.49,0.001894
33610,0.02392,0.8712,9699000,-78.59,0.003465
427500,0.03003,0.875,114800000,-81.95,0.003724
21830,0.02122,0.8889,6543000,-79.58,0.003336
93550,0.02106,0.8767,24910000,-81.1,0.003756
1539000,0.02195,0.8461,322900000,-81.53,0.004766
1007000,0.02813,0.9465,483200000,-86.22,0.002084
110900,0.02622,0.858,26760000,-86.15,0.004144
1235000,0.02525,0.872,315300000,-86.48,0.003917
644600,0.02831,0.9027,206600000,-87.76,0.00312
78.41,0.01903,0.9195,28620,-81.93,0.00274
828800,0.02602,0.9338,364600000,-81.65,0.002273
2266000,0.02276,0.8643,583800000,-82.04,0.003881
302200,0.02102,0.8787,84200000,-78.8,0.003589
81.7,0.02185,0.9313,30150,-86.24,0.00271
510700,0.0312,0.9408,233700000,-84.02,0.002185
750500,0.02027,0.9255,299800000,-80.27,0.002503
16020,0.02575,0.864,4116000,-79.31,0.003892
3106,0.03478,0.8981,968400,-82.12,0.003207
51970,0.02224,0.8805,14500000,-82.09,0.003584
19850,0.02813,0.9188,7342000,-88.66,0.002704
38990,0.02253,0.8778,11350000,-81.99,0.003435
380500,0.02095,0.8852,107700000,-85.41,0.003533
58.72,0.02377,0.9421,23810,-81.86,0.002466
33.06,0.02093,0.988,18510,-76.9,0.001786
2809000,0.0224,0.8641,697800000,-83.85,0.004026
4265000,0.02114,0.8215,721300000,-84.17,0.005913
88.16,0.02753,0.9247,33980,-77.99,0.002594
1303000,0.01975,0.8815,381400000,-79.92,0.003416
49700,0.0212,0.8872,14620000,-80.13,0.003399
11760,0.02217,0.8616,2814000,-78.85,0.004179
890800,0.02261,0.9185,354200000,-79.68,0.002515
38.3,0.03202,1.035,28880,-91.01,0.001326
55.69,0.02195,0.9906,32770,-79.4,0.001699
2006000,0.0211,0.9115,724100000,-80.35,0.00277
27380,0.02939,0.8278,5385000,-79.1,0.005084
1512000,0.02321,0.8722,422900000,-81.46,0.003575
49.48,0.03147,0.9718,27560,-83.55,0.001795
22170,0.02201,0.8937,7261000,-80.74,0.003053
26130,0.03638,0.842,5553000,-80.1,0.004706
775,0.02559,0.881,214400,-81.35,0.003615
1145000,0.02129,0.9289,473500000,-83.66,0.002418
14530,0.03779,0.8861,4299000,-83.03,0.00338
62.24,0.0302,0.9409,24660,-81.79,0.002524
72780,0.01994,0.881,21580000,-78.87,0.003373
25820,0.02556,0.8446,5610000,-78.95,0.004602
102.1,0.02473,0.9134,35360,-78.17,0.002887
136.8,0.01811,0.924,52270,-78.13,0.002617
61370,0.02522,0.9475,31060000,-83.08,0.001976
13930,0.02172,0.9024,4479000,-85.2,0.00311
21240,0.02175,0.896,6789000,-83.25,0.003129
32350,0.02763,0.8539,7378000,-79.93,0.004385
29.69,0.02055,1.02,20180,-84.02,0.001471
85490,0.03963,0.8819,24430000,-89.75,0.003499
65210,0.01789,0.8928,19460000,-82.41,0.003351
11830,0.02199,0.9759,7200000,-80.33,0.001643
46100,0.03112,0.9144,15620000,-85.28,0.002951
35420,0.03084,0.8343,6899000,-77.47,0.005134
2032000,0.02096,0.9119,718200000,-84.86,0.002829
269700,0.02602,0.839,52950000,-80.1,0.005093
85180,0.01919,0.9206,31080000,-81.81,0.002741
110.4,0.02188,0.9629,54880,-79.24,0.002012
212.2,0.02872,0.929,84600,-78.64,0.002508
1063000,0.02116,0.8716,272400000,-81.26,0.003902
