Kmax,Ku,n,halfmax,Vhalf,slope
12.38,0.04899,1.227,1192000,-88.82,1.039e-05
13.77,0.05433,1.323,3591000,-94.7,3.835e-06
15.11,0.1078,1.244,2163000,-88.7,6.986e-06
11.23,0.04829,1.25,1469000,-89.35,7.645e-06
20.99,0.1032,1.067,495400,-85.41,4.237e-05
13.41,0.03988,1.241,1830000,-94.41,7.328e-06
15.48,0.04745,1.118,601800,-149.9,2.572e-05
14.47,0.05266,1.275,2778000,-82.47,5.209e-06
10.77,0.08864,1.197,1075000,-83.28,1.002e-05
15.51,0.1246,1.078,447000,-83.28,3.47e-05
12.19,0.04345,1.324,3539000,-171.7,3.444e-06
14.68,0.06329,1.19,1197000,-88.71,1.226e-05
25.2,0.06438,1.034,436500,-149.1,5.773e-05
22.37,0.1215,1.093,738900,-82.63,3.027e-05
11.73,0.0458,1.155,587600,-160,1.996e-05
16.72,0.1031,1.164,950400,-86.31,1.759e-05
17.2,0.06058,1.208,1578000,-85.24,1.09e-05
14.42,0.06492,1.093,428000,-91.92,3.369e-05
13.45,0.04434,1.165,826300,-91.04,1.628e-05
15.69,0.04742,1.169,1025000,-84.52,1.531e-05
12.75,0.07315,1.314,3157000,-88.07,4.039e-06
11.75,0.2698,1.203,1046000,-78.62,1.123e-05
25.68,0.434,1.088,1018000,-79.12,2.523e-05
19.09,0.1711,0.9551,166100,-81.56,0.0001149
29.89,0.1132,0.9303,216100,-85.19,0.0001383
15.56,0.06234,1.194,1207000,-159.7,1.289e-05
21.96,0.08329,1.078,584800,-85.11,3.755e-05
18.21,0.09569,0.9688,193900,-84.08,9.391e-05
11.77,0.04862,1.191,812000,-91.3,1.45e-05
12.8,0.08315,1.254,1960000,-82.32,6.531e-06
11.14,0.07503,1.258,1608000,-85.79,6.928e-06
57.94,0.1037,0.8967,308400,-83.56,0.0001879
18.4,0.1086,1.188,1607000,-88.04,1.145e-05
18.9,0.07232,0.9485,156400,-82.23,0.0001208
14.58,0.9339,1.249,2060000,-84.11,7.078e-06
11.48,0.1091,1.195,879000,-81.82,1.306e-05
16.5,0.09509,1.036,283600,-87.09,5.818e-05
11.87,0.06261,1.189,899500,-86.02,1.32e-05
18.17,0.952,1.137,998700,-77.08,1.819e-05
19.13,0.1145,0.9604,172700,-82.1,0.0001108
13.7,0.03944,1.202,1093000,-99.76,1.253e-05
13.7,0.04236,1.296,2931000,-174.1,4.674e-06
24.87,0.05343,1.068,675600,-94.06,3.681e-05
16.26,0.05276,1.113,557700,-110.2,2.916e-05
16.5,0.07865,1.052,365100,-87.71,4.519e-05
24.95,0.0791,0.9784,268700,-87.5,9.285e-05
15.66,0.1621,1.149,910900,-83.52,1.719e-05
13.72,0.6589,1.128,662900,-76.8,2.07e-05
14.43,0.07402,1.17,1009000,-89.1,1.43e-05
14.17,0.06552,1.17,905600,-89.5,1.565e-05
11.12,0.08063,1.331,3036000,-84.13,3.663e-06
16.59,0.1004,1.052,369700,-84.45,4.487e-05
15.81,0.1769,1.076,476400,-80.57,3.319e-05
16.52,0.05614,1.167,1038000,-85.04,1.592e-05
21.72,0.1378,1.03,461800,-81.67,4.703e-05
14.92,0.08065,1.238,2005000,-85.07,7.441e-06
17,0.06654,1.119,773000,-95.12,2.199e-05
13.93,0.07001,1.255,2097000,-87.72,6.643e-06
11.27,0.04951,1.348,3549000,-88.88,3.176e-06
12.2,0.05401,1.24,1516000,-92.33,8.047e-06
20.81,0.4561,1.163,1394000,-86.33,1.493e-05
34.4,0.0671,0.9825,391600,-102.2,8.784e-05
25.42,0.1334,0.9917,342800,-81.46,7.415e-05
13.3,0.05613,1.246,1809000,-102,7.352e-06
14.26,0.1078,1.058,312000,-82.59,4.571e-05
12.75,0.0461,1.26,1956000,-92.67,6.518e-06
17.97,0.6216,0.986,227800,-77.06,7.888e-05
13.78,0.04604,1.046,274200,-92.82,5.026e-05
13.77,0.0717,1.122,559000,-89.42,2.463e-05
12.66,0.06296,1.084,321100,-89.91,3.943e-05
12.67,0.06323,1.111,453300,-86.35,2.795e-05
21.65,0.9759,1.066,583200,-77.23,3.712e-05
14.92,0.06468,1.225,1800000,-86.33,8.289e-06
13.98,0.06345,1.123,568500,-97.39,2.459e-05
13.59,0.5913,1.149,858300,-76.36,1.583e-05
27.5,0.05918,1.007,403800,-148.8,6.81e-05
41.75,0.9903,0.9295,290300,-80.91,0.0001438
11.97,0.4702,1.161,826100,-77.61,1.449e-05
23.67,0.06589,1.011,323800,-162.7,7.31e-05
17.53,0.03963,1.088,455700,-159.4,3.847e-05
14.18,0.04995,1.183,997000,-176.5,1.422e-05
25.95,0.105,1.087,834200,-82.89,3.111e-05
11.07,0.06974,1.15,509000,-87.21,2.175e-05
9.545,0.06392,1.155,454200,-85.87,2.101e-05
16.11,0.05369,1.263,2655000,-87.1,6.068e-06
15.67,0.1272,1.056,350000,-79.6,4.477e-05
14.76,0.06288,1.197,1341000,-93.19,1.101e-05
15.16,0.08065,1.116,555000,-89.16,2.732e-05
12.67,0.0731,1.318,3370000,-87.73,3.76e-06
13.36,0.06189,1.154,689700,-170.8,1.937e-05
10.47,0.04282,1.317,2553000,-92.66,4.101e-06
13.83,0.04976,1.308,3047000,-95.62,4.539e-06
24.61,0.5233,1.076,750900,-79.88,3.277e-05
16.89,0.1288,1.18,1286000,-81.31,1.313e-05
10.78,0.05632,1.408,6615000,-87.93,1.63e-06
16.79,0.3344,1.18,1325000,-80.23,1.267e-05
16.34,0.2534,1.194,1541000,-81.14,1.06e-05
17.27,0.08786,1.12,731800,-83.51,2.36e-05
13.35,0.04441,1.015,183000,-93.84,7.295e-05
13.6,0.06285,1.081,350800,-92.4,3.877e-05
20.31,0.06868,1.174,1463000,-89.37,1.388e-05
29.69,0.05553,1.014,488000,-91.08,6.084e-05
15.36,0.04047,0.9864,165400,-151.7,9.287e-05
