param,value,lower,upper
log10Kmax,4.91492464820515,0.776608559946262,5.9560696862946
log10Ku,-0.00943917000598001,-0.498910422821758,-8.68675834285712e-05
n,0.6873,0.5169675,1.114075
log10halfmax,7.73078227566639,4.69945547477222,8.83315269011902
Vhalf,-86.19,-174.7025,-72.34
log10slope,-2.81587664576033,-4.55707364818306,-2.0641339111212
